"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Brooks Kieschnick","Reds","14","13","0","0","0","0","7.7%","38.5%",".000",".000",".000",".077",".000",".056","-88","0.0","-3.3","0.0","-0.3","389"
"Wade Miller","Astros","16","41","0","1","3","0","0.0%","39.0%",".025",".167",".100",".100",".125",".099","-62","0.0","-9.0","4.7","-0.3","568"
"Raul Ibanez","Mariners","92","156","2","21","15","2","9.0%","16.0%",".100",".263",".229",".301",".329",".282","63","0.4","-7.4","-1.2","-0.3","607"
"Yohanny Valera","Expos","7","13","0","1","1","0","7.7%","38.5%",".000",".000",".000",".167",".000",".123","-43","0.0","-2.5","-0.8","-0.3","1013332"
"Chris Sexton","Reds","35","118","0","9","10","4","11.0%","10.2%",".040",".236",".210",".310",".250",".265","46","-0.1","-8.8","1.8","-0.3","1011771"
"Armando Reynoso","Diamondbacks","31","57","0","0","0","0","3.5%","42.1%",".000",".208",".104",".140",".104",".119","-48","0.0","-11.5","6.6","-0.3","72"
"Nate Rolison","Marlins","8","16","0","0","2","0","6.3%","25.0%",".000",".091",".077",".125",".077",".101","-53","0.0","-3.3","-0.2","-0.3","1011158"
"Reggie Taylor","Phillies","9","11","0","1","0","1","0.0%","72.7%",".000",".333",".091",".091",".091",".082","-69","0.2","-2.3","-1.0","-0.3","358"
"Tony Armas Jr.","Expos","17","30","0","1","1","0","3.3%","40.0%",".000",".071",".038",".074",".038",".060","-83","0.0","-7.5","3.5","-0.3","761"
"Wendell Magee","Tigers","91","198","7","31","31","1","5.1%","14.1%",".156",".289",".274",".310",".430",".320","87","0.2","-3.3","-6.6","-0.3","477"
"Turner Ward","Diamondbacks","15","59","0","5","4","1","8.5%","11.9%",".077",".196",".173",".241",".250",".226","21","-0.3","-6.6","1.4","-0.3","1013625"
"Matt Clement","Padres","34","69","0","3","2","0","5.8%","47.8%",".033",".148",".067",".125",".100",".112","-43","0.0","-13.4","8.0","-0.3","271"
"Sterling Hitchcock","Padres","11","23","0","0","1","0","0.0%","52.2%",".000",".000",".000",".000",".000",".000","-100","0.0","-6.7","2.7","-0.3","824"
"Emil Brown","Pirates","50","135","3","13","16","3","8.1%","25.2%",".118",".277",".218",".299",".336",".287","61","0.2","-6.9","-0.9","-0.3","1197"
"Alex Gonzalez","Blue Jays","141","591","15","68","69","4","7.3%","19.1%",".152",".295",".252",".313",".404",".316","79","-1.0","-17.9","-5.7","-0.3","281"
"Bobby Jones","Mets","27","55","0","4","0","0","5.5%","38.2%",".000",".087",".045",".125",".045",".098","-55","0.0","-11.6","6.3","-0.3","1039"
"Mario Valdez","Athletics","5","12","0","0","0","0","0.0%","25.0%",".000",".000",".000",".000",".000",".000","-100","0.0","-3.6","-0.2","-0.3","1013314"
"Juan Pierre","Rockies","51","219","0","26","20","7","5.9%","6.8%",".010",".333",".310",".353",".320",".310","55","-1.3","-14.7","3.7","-0.3","443"
"Geraldo Guzman","Diamondbacks","13","22","0","0","0","0","0.0%","59.1%",".000",".000",".000",".000",".000",".000","-100","0.0","-6.7","2.5","-0.3","1005159"
"Carlos Mendoza","Rockies","13","11","0","0","0","0","9.1%","36.4%",".000",".167",".100",".182",".100",".147","-49","-0.5","-2.7","-1.0","-0.3","1008759"
"Devon White","Dodgers","47","168","4","26","13","3","5.4%","17.9%",".120",".306",".266",".310",".386",".307","81","-2.1","-6.4","-2.5","-0.3","1013862"
