,WAR,Age,Previous War,2yr_war,ratio
445,2.7,34.0,-0.7,-1.0,0.9321533923303836
446,3.3000000000000003,35.0,2.7,-0.7,0.9321533923303836
447,0.0,25.0,0.1,-0.1,0.35714285714285715
448,-0.4,25.0,-0.7000000000000001,1.4,0.09424083769633508
449,-0.9,26.0,-0.4,-0.7000000000000001,0.09424083769633508
450,0.3,27.0,-0.9,-0.4,0.09424083769633508
451,-0.3,29.0,0.3,-0.9,0.09424083769633508
452,0.2,30.0,-0.3,0.3,0.09424083769633508
453,1.0,31.0,0.2,-0.3,0.09424083769633508
454,2.7,26.0,1.4,-0.30000000000000004,0.9310344827586208
455,0.4,28.0,2.7,1.4,0.9310344827586208
456,2.4000000000000004,29.0,0.4,2.7,0.9310344827586208
457,-0.3,24.0,-0.1,-0.1,0.55
458,0.2,26.0,-0.3,-0.1,0.55
459,-0.7,27.0,0.2,-0.3,0.55
460,-1.1,26.0,-0.3,-0.30000000000000004,0.7
461,-1.4,25.0,0.2,0.30000000000000004,0.7761194029850746
462,1.2999999999999998,26.0,-1.4,0.2,0.7761194029850746
463,-0.5,27.0,1.2999999999999998,-1.4,0.7761194029850746
464,-0.3,26.0,1.1,-0.1,0.08533333333333333
465,2.0,27.0,-0.3,1.1,0.08533333333333333
466,0.3,28.0,2.0,-0.3,0.08533333333333333
467,-0.1,29.0,0.3,2.0,0.08533333333333333
468,-0.1,30.0,-0.1,0.3,0.08533333333333333
469,2.8,31.0,-0.1,-0.1,0.08533333333333333
470,-0.4,32.0,2.8,-0.1,0.08533333333333333
471,0.10000000000000003,33.0,-0.4,2.8,0.08533333333333333
472,-0.2,27.0,0.2,-0.2,0.027027027027027032
473,1.5,31.0,-0.2,0.2,0.027027027027027032
474,0.3,32.0,1.5,-0.2,0.027027027027027032
475,0.6,33.0,0.3,1.5,0.027027027027027032
476,1.2,34.0,0.6,0.3,0.027027027027027032
477,-0.5,35.0,1.2,0.6,0.027027027027027032
478,-0.4,36.0,-0.5,1.2,0.027027027027027032
479,-0.2,27.0,0.4,-0.2,0.0
480,0.8,28.0,-0.2,0.4,0.0
481,0.9,29.0,0.8,-0.2,0.0
482,0.1,30.0,0.9,0.8,0.0
483,1.5,27.0,0.0,-0.3,0.0
484,0.5,28.0,1.5,0.0,0.0
485,0.9,29.0,0.5,1.5,0.0
486,0.9,30.0,0.9,0.5,0.0
487,-0.5,31.0,0.9,0.9,0.0
488,1.4,32.0,-0.5,0.9,0.0
489,0.0,33.0,1.4,-0.5,0.0
490,-0.1,34.0,0.0,1.4,0.0
491,-0.6,35.0,-0.1,0.0,0.0
492,1.7,25.0,0.1,-0.5,0.011933174224343677
493,-0.1,26.0,1.7,0.1,0.011933174224343677
