Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
87,2006,ATL,NL,79,83,.488,162,6284,9,-2,-4,-11,64,55,4.1,184,240,21.7,.502,.502,23.0,-0.9,251,$74967333
88,2005,CHC,NL,79,83,.488,162,6161,-41,-6,1,3,60,17,0.3,180,197,17.8,.501,.501,17.8,0.4,194,$87032933
89,2005,TEX,AL,79,83,.488,162,6301,35,14,1,-45,-5,0,-0.1,230,229,22.0,.500,.500,26.7,-4.6,274,$54877500
90,2009,CIN,NL,78,84,.481,162,6187,-105,-4,3,20,56,-29,-4.1,182,153,13.7,.499,.499,11.4,2.3,133,$78159000
91,2007,STL,NL,78,84,.481,162,6211,-51,-4,-9,34,52,22,1.0,184,205,18.5,.501,.501,15.4,3.1,172,$89904823
92,2006,CLE,AL,78,84,.481,162,6303,63,1,1,-29,-2,34,3.9,230,264,26.0,.502,.502,28.8,-2.6,293,$56031500
93,2006,FLA,NL,78,84,.481,162,6191,-6,-11,2,-27,60,19,0.5,182,201,17.9,.501,.501,20.7,-3.0,228,$14671500
94,2006,SEA,AL,78,84,.481,162,6213,-34,-1,6,49,-6,15,2.1,226,241,23.8,.501,.501,19.1,4.7,192,$87959833
95,2005,ARI,NL,77,85,.475,162,6327,-59,1,-1,-13,56,-16,-2.9,185,169,15.1,.499,.499,16.7,-1.5,182,$62011166
96,2006,SFG,NL,76,85,.472,161,6136,-87,-8,-4,33,65,-1,-1.4,179,178,15.8,.500,.500,12.7,3.0,146,$90056419
97,2007,OAK,AL,76,86,.469,162,6365,21,-2,-10,20,-5,26,3.0,237,262,25.6,.502,.502,23.6,2.0,242,$79366940
98,2006,ARI,NL,76,86,.469,162,6330,-95,-4,1,-1,63,-36,-4.7,186,151,13.2,.499,.499,13.5,0.1,152,$59984226
99,2006,COL,NL,76,86,.469,162,6348,-88,-6,3,16,70,-7,-2.0,185,179,15.8,.500,.500,14.3,1.9,163,$40232000
100,2008,OAK,AL,75,86,.466,161,6138,-89,5,-1,43,-8,-51,-3.4,228,178,18.6,.497,.497,13.5,4.9,135,$47967126
